m,x,y,z,vx,vy,vz
9.999999999999999547e-08,-4.344406459573029622e+00,-2.141230573028224615e+00,-3.147848204775131886e-02,1.074814715584437197e+00,-2.554905544373397230e+00,-1.546804525711307221e-01
9.999999999999999547e-08,2.261702353394564824e+01,2.487327358185017445e+01,-7.370113345719861986e-01,-8.244993701678526854e-01,7.515547953343232335e-01,1.056835952802935852e-01
9.999999999999999547e-08,1.046427228449528357e+01,-2.277532782059979866e+01,3.813403524006555023e-01,1.092961663564693042e+00,4.996443508237443654e-01,7.451254861132869042e-03
9.999999999999999547e-08,6.967446582882057982e+00,4.029457314131207113e+00,-1.418676427913913816e-02,-1.135201046722150275e+00,1.915046524708351905e+00,9.018526199359302997e-02
9.999999999999999547e-08,2.013921388392182976e+01,1.428816242572946393e+01,-3.136733488741588749e-01,-6.879202726483193420e-01,1.072228678547435754e+00,-4.031260914721956218e-02
9.999999999999999547e-08,-4.442717078642644424e+00,6.838712625797386480e+00,-6.114607037590802374e-01,-1.754442764624300377e+00,-1.203944473729845921e+00,-1.737240810058891805e-02
9.999999999999999547e-08,1.364667634676403729e+00,3.496213699628503946e+01,-9.037284020083826697e-01,-1.055912319966747503e+00,4.920285523123732463e-02,-7.451747950003616283e-02
9.999999999999999547e-08,2.204169784774015994e+01,-7.901339265966095260e-02,-7.633278370071858721e-01,-1.546265749555083375e-03,1.346275472404772300e+00,4.630314437512933479e-02
9.999999999999999547e-08,1.214696539010871668e+01,1.620776795792245295e+01,-3.025179055345975782e-02,-1.100354240635955438e+00,7.886008619735221936e-01,-7.879017933677652866e-04
9.999999999999999547e-08,1.580803609083357486e+01,-2.831579158780758165e-01,-5.831409130898260879e-02,-8.840088399436105138e-02,1.542308788284321386e+00,-2.596035237867187068e-02
9.999999999999999547e-08,5.852593400785970346e-01,-2.966728437271752128e+01,-7.361022141501578908e-02,1.187202418752497879e+00,-1.063325180560042646e-02,5.103752633798985111e-03
9.999999999999999547e-08,-5.609721383331221389e+00,-1.726715865239726000e+01,1.530848747955553035e+00,1.397599427005251416e+00,-4.531949714502462867e-01,1.456316795193481929e-02
9.999999999999999547e-08,-4.816144577626942258e+00,5.175229323466861153e-01,6.465635138356234934e-02,-1.527951594512625966e-01,-2.728768276072829124e+00,6.836233857594503638e-02
9.999999999999999547e-08,-2.820554549586149928e+00,-5.305142248425192442e+00,-2.137343326141638924e-02,2.242938283178363967e+00,-1.231645833646322297e+00,-2.889096656616706171e-02
9.999999999999999547e-08,-3.378916147734105202e+00,4.804907585837104733e+01,-6.945889702787840791e-01,-9.001178849066411303e-01,-8.476260702701049476e-02,-2.894428447220868256e-02
9.999999999999999547e-08,4.366222714737816091e+01,-2.384445986744831458e+01,3.652000120582263309e-01,4.228037307452552351e-01,7.344650339049214605e-01,-1.909564377074632465e-03
9.999999999999999547e-08,1.229089192350739701e+01,-3.536256258931430807e+01,1.896975283194751061e+00,9.192964927362928806e-01,3.565758966803430074e-01,8.111574855716455201e-02
9.999999999999999547e-08,1.294068804200537137e+01,5.586717723326207086e+00,2.413264727270904020e-01,-5.283405162979352143e-01,1.538365025975408917e+00,-4.076816627936462323e-02
9.999999999999999547e-08,-1.534871507210666675e+00,-4.980170153203150818e+01,-3.402628625803850060e+00,8.726692840284696606e-01,3.458166023854560012e-02,5.993370658918876354e-02
9.999999999999999547e-08,3.585699636281484004e+01,8.354494033035900102e+00,2.117850366063580125e+00,-2.042275228155348288e-01,1.041271367626637856e+00,4.135545696998229465e-02
